,Unit_Name_1,Score
0,"univ texas, austin",385.4278138528131
1,univ amsterdam,382.493269230769
2,michigan state univ,352.300732600732
3,"univ wisconsin, madison",343.50847069597006
4,ohio state univ,336.0286435786434
5,penn state univ,281.2652597402597
6,"univ illinois, urbana-champaign",259.65305250305266
7,univ penn,250.2142055551448
8,univ michigan,243.06441613941598
9,"indiana univ, bloomington",239.46428571428564
10,univ calif santa barbara,212.18003663003657
11,"univ georgia, athens",212.0365800865799
12,"univ missouri, columbia",199.73809523809533
13,purdue univ,198.82259407259386
14,univ so calif,180.57803585303586
15,univ washington,177.70203130203123
16,univ florida,172.54080086580095
17,univ arizona,169.15277777777771
18,"univ maryland, college pk",168.9844988344988
19,cornell univ,166.0516806722691
20,rutgers state univ,159.52330447330442
21,northwestern univ,152.11396103896115
22,"univ alabama, tuscaloosa",151.0545995670995
23,"univ minnesota, twin cities",148.1257936507936
24,arizona state univ,140.91713564213558
25,nanyang technol univ,138.82142857142864
26,univ oklahoma,136.46001400560215
27,univ colorado,130.26044182425764
28,chinese univ hong kong,123.49166666666663
29,washington state univ,123.16547619047616
30,"univ n carolina, chapel hill",122.62757520257527
31,univ iowa,119.91987734487734
32,univ kentucky,118.4565046065046
33,univ haifa,114.40757575757577
34,univ calif davis,113.0592712842713
35,"texas a&m, college stn",111.57023809523812
36,"univ tennessee, knoxville",109.13571428571429
37,univ utah,106.48229548229551
38,ohio univ,106.12499999999997
39,univ zurich,104.40672105672111
40,texas tech univ,104.3301587301587
41,temple univ,104.27658730158727
42,city univ hong kong,103.59285714285711
43,univ vienna,101.49285714285718
44,univ ghent,101.29675324675323
45,hebrew univ jerusalem,101.16031746031746
46,stanford univ,99.18434065934073
47,univ calif los angeles,98.19094516594514
48,univ kansas,97.67916666666667
49,vrije univ amsterdam,95.30025252525252
50,george washington univ,90.19273088023088
51,univ connecticut,89.75963203463206
52,"univ illinois, chicago",88.91824425574427
53,natl univ singapore,88.64285714285717
54,univ queensland,87.0890692640693
55,cardiff univ,86.61666666666666
56,univ helsinki,86.52420634920635
57,"louisiana state univ, baton rouge",83.69404761904761
58,"univ wisconsin, milwaukee",82.01515151515156
59,univ antwerp,81.88852813852819
60,univ oxford,81.20238095238092
61,san diego state univ,80.35317460317464
62,univ s carolina,80.2269230769231
63,univ leeds,78.76904761904763
64,queensland univ technol,78.66829004329006
65,univ oslo,78.62619047619049
66,suny buffalo,76.09761904761912
67,natl chengchi univ,75.90833333333333
68,hong kong baptist univ,74.82619047619045
69,colorado state univ,74.69345238095241
70,george mason univ,71.52352092352095
71,univ delaware,71.24285714285719
72,syracuse univ,70.76547619047619
73,univ melbourne,70.37261904761911
74,florida state univ,69.81190476190476
75,"univ massachusetts, amherst",69.5842203548086
76,univ copenhagen,69.16666666666666
77,nyu,68.0917748917749
78,univ loughborough,67.21111111111111
79,univ waikato,66.29285714285717
80,harvard univ,65.93880188439026
81,monash univ,65.79285714285716
82,tel aviv univ,65.57626262626266
83,univ sydney,63.071475746475755
84,erasmus univ,62.40833333333336
85,univ leicester,62.142857142857146
86,georgia state univ,61.727380952381004
87,katholieke univ leuven,61.31807359307359
88,univ toronto,61.131926406926425
89,iowa state univ,60.90238095238098
90,columbia univ,60.304220779220806
91,brigham young univ,60.25833333333337
92,univ houston,59.79444444444447
93,univ lancaster,58.167857142857166
94,univ oregon,57.77341269841274
95,n carolina state univ,57.66948051948053
96,radboud univ nijmegen,57.51190476190478
97,univ s florida,57.45241147741149
98,boston univ,56.16374458874463
99,kent state univ,55.99523809523812
