Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1949,0,0,0,0,0,0,0,0,12,0,2,1
1950,8,2,2,0,3,0,3,1,0,1,30,7
1951,1,1,1,5,20,14,0,1,4,6,7,6
1952,0,5,0,1,8,1,4,2,0,5,5,3
1953,8,2,1,6,15,4,4,2,2,3,0,0
1954,2,0,2,4,17,7,1,2,3,5,2,3
1955,0,0,8,5,13,5,4,3,9,12,1,3
1956,2,2,9,38,25,3,11,5,10,21,10,5
1957,4,10,9,12,4,4,3,2,1,2,1,1
1958,5,0,3,3,8,4,0,0,2,3,1,1
1959,1,2,10,135,78,14,16,2,2,9,6,5
1960,3,8,8,10,6,6,6,6,9,9,9,14
1961,3,5,6,7,4,8,8,5,6,11,3,9
1962,5,5,5,5,5,5,4,5,4,18,7,14
1963,12,5,13,5,7,4,0,3,2,11,4,2
1964,5,6,9,6,7,4,7,6,0,3,10,11
1965,8,0,1,2,1,3,7,21,45,5,8,10
1966,5,2,5,0,2,7,2,3,4,1,1,1
1967,0,0,2,0,0,0,0,0,1,2,0,0
1968,0,0,0,0,0,0,0,0,9,1,3,1
1969,1,0,2,3,1,1,0,0,1,1,0,1
1970,3,5,3,3,2,3,2,0,2,0,1,0
1971,2,5,1,3,0,0,1,1,0,3,0,4
1972,1,4,2,2,4,6,2,5,4,1,0,5
1973,4,2,4,7,3,5,4,6,3,3,4,2
1974,3,1,3,2,1,6,1,3,1,2,4,6
1975,2,3,1,1,3,2,2,3,13,0,0,3
1976,4,3,2,2,10,3,2,2,0,1,1,2
1977,6,3,0,1,2,4,0,0,1,2,4,6
1978,5,1,1,5,4,1,3,2,11,4,5,8
1979,3,1,3,2,2,4,1,1,6,2,2,5
1980,3,3,1,8,6,19,6,2,7,1,3,5
1981,8,2,5,1,13,2,1,6,4,5,6,8
1982,4,4,2,7,9,7,13,5,3,5,6,2
1983,11,3,6,4,13,3,5,2,5,11,12,9
1984,8,4,5,6,5,3,7,8,4,4,5,6
1985,4,9,10,6,14,7,18,28,15,4,3,8
1986,3,1,4,4,8,3,12,9,2,7,2,2
1987,3,5,5,10,4,6,7,2,11,20,8,3
1988,6,11,10,2,6,3,10,7,1,3,4,4
1989,3,6,16,17,4,2,8,6,9,3,7,7
1990,6,7,2,10,11,2,12,7,4,2,5,5
1991,3,6,10,21,40,7,9,21,12,9,9,17
1992,15,14,16,8,11,8,7,7,17,6,5,7
1993,13,5,6,6,5,8,6,13,5,6,13,3
1994,6,4,8,6,10,11,4,12,4,10,4,3
1995,7,6,9,8,10,14,7,18,21,5,2,10
1996,3,3,5,9,3,10,5,6,3,8,7,4
1997,7,4,8,6,6,4,11,16,12,5,9,6
1998,4,6,8,7,6,11,10,10,22,6,4,5
1999,0,4,7,8,11,11,10,5,2,8,7,8
2000,9,6,15,11,5,13,4,12,17,9,7,4
2001,1,6,8,11,15,19,42,10,7,5,8,4
2002,6,4,12,3,6,9,7,11,16,5,1,4
2003,4,3,8,3,1,8,1,5,2,5,3,8
2004,2,2,0,5,7,9,8,3,6,4,2,6
2005,2,0,2,2,3,8,10,29,20,5,2,8
2006,4,5,1,3,8,4,15,9,7,21,7,5
2007,8,5,6,9,11,7,9,4,15,2,5,7
2008,7,3,27,65,31,16,6,4,6,11,7,6
2009,10,21,102,13,1,13,11,18,13,13,7,6
2010,16,5,15,5,11,9,16,12,17,4,4,7
2011,5,5,24,5,19,23,50,11,5,10,8,4
2012,3,3,16,6,11,8,8,7,19,10,4,6
2013,4,3,10,6,8,6,5,8,2,11,1,7
2014,5,3,6,7,8,3,7,10,13,4,4,5
2015,1,2,5,17,23,7,6,29,35,7,8,4
2016,2,4,5,6,7,3,12,5,9,4,10,2
2017,4,4,8,4,5,10,9,8,6,2,8,8
2018,9,5,9,1,6,9,6,4,7,6,2,6
2019,4,0,0,0,0,0,0,0,0,0,0,0
