Unit_Name_1,Score
univ wisconsin,421.6459887
univ amsterdam,382.4932692
univ illinois,353.8546301
michigan state univ,352.3007326
ohio state univ,336.0286436
univ texas austin,297.4444805
penn state univ,281.2652597
univ penn,250.2142056
univ michigan,243.0644161
indiana univ,241.1595238
univ missouri,231.472619
univ georgia,215.7032468
univ calif santa barbara,212.1800366
purdue univ,198.8225941
univ maryland,191.8293762
univ n carolina,190.6888306
univ washington,177.7020313
univ florida,172.5408009
univ arizona,169.1527778
cornell univ,166.0516807
univ alabama,165.1426948
rutgers state univ,159.5233045
northwestern univ,152.113961
univ minnesota,147.659127
arizona state univ,140.9171356
nanyang technol univ,138.8214286
univ oklahoma,136.460014
univ colorado,130.2604418
chinese univ hong kong,123.4916667
washington state univ,123.1654762
univ iowa,119.9198773
texas a&amp;m univ,119.2702381
univ kentucky,118.4565046
univ so calif,117.6256549
univ texas,115.058171
univ haifa,114.4075758
univ tennessee,113.9246032
univ calif davis,113.0592713
louisiana state univ,107.7839286
univ utah,106.4822955
ohio univ,106.125
univ zurich,104.4067211
texas tech univ,104.3301587
temple univ,104.2765873
city univ hong kong,103.5928571
univ vienna,101.4928571
univ ghent,101.2967532
hebrew univ jerusalem,101.1603175
stanford univ,99.18434066
univ calif los angeles,98.19094517
univ kansas,97.67916667
vrije univ amsterdam,95.30025253
george washington univ,90.19273088
univ connecticut,89.75963203
natl univ singapore,88.64285714
univ queensland,87.08906926
cardiff univ,86.61666667
univ helsinki,86.52420635
univ antwerp,81.88852814
univ oxford,81.20238095
san diego state univ,80.3531746
univ s carolina,80.22692308
univ leeds,78.76904762
queensland univ technol,78.66829004
univ oslo,78.62619048
suny buffalo,76.09761905
natl chengchi univ,75.90833333
hong kong baptist univ,74.82619048
colorado state univ,74.69345238
univ massachusetts,74.51709581
george mason univ,71.52352092
univ delaware,71.24285714
syracuse univ,70.76547619
univ melbourne,70.37261905
florida state univ,69.81190476
univ copenhagen,69.16666667
nyu,68.09177489
univ loughborough,67.21111111
univ waikato,66.29285714
harvard univ,65.93880188
monash univ,65.79285714
tel aviv univ,65.57626263
univ sydney,63.07147575
univ southern calif,62.95238095
erasmus univ,62.40833333
univ leicester,62.14285714
georgia state univ,61.72738095
katholieke univ leuven,61.31807359
univ toronto,61.13192641
iowa state univ,60.90238095
univ london,60.64087302
columbia univ,60.30422078
brigham young univ,60.25833333
univ houston,59.93730159
univ lancaster,58.16785714
univ oregon,57.7734127
n carolina state univ,57.66948052
radboud univ nijmegen,57.51190476
univ s florida,57.45241148
boston univ,56.16374459
kent state univ,55.9952381
univ sheffield,55.79642857
univ miami,54.00575397
univ london london sch econ &amp; polit sci,53.5
univ westminster,53.08333333
aarhus univ,52.49166667
univ nottingham,52.27777778
univ nebraska,52.24279609
univ twente,51.11666667
city univ london,50.95833333
auburn univ,50.6
depaul univ,50.43571429
georgetown univ,50.02380952
simon fraser univ,49.9047619
bar ilan univ,49.525
bowling green state univ,48.28293651
cleveland state univ,48.11666667
univ pittsburgh,48.06932789
wayne state univ,47.9462482
univ gothenburg,47.80952381
suny albany,47.47619048
massey univ,47.43611111
seoul natl univ,47.28511905
univ groningen,47.16111111
univ nevada,46.95
univ york,46.15833333
univ manchester,45.83333333
univ hawaii manoa,45.78333333
univ calif berkeley,45.70919913
ben gurion univ negev,45.5625
univ southern denmark,45.55357143
univ utrecht,44.4468254
univ munich,44.33936203
boston coll,43.89722222
kings coll london,43.61111111
yale univ,43.40919913
clemson univ,43.31666667
univ jyvaskyla,43.30512821
texas christian univ,43.21349206
johannes gutenberg univ mainz,42.8547619
concordia univ,42.40833333
univ tampere,42.34319292
mcgill univ,42.11501832
univ cincinnati,41.98690476
illinois state univ,41.78333333
carnegie mellon univ,41.68730159
johns hopkins univ,41.64551282
univ memphis,41.45952381
univ arkansas,41.31666667
univ stirling,41.25
kansas state univ,40.875
univ n texas,40.85833333
univ new mexico,40.79285714
so illinois univ,40.01666667
univ mannheim,39.83416306
st louis univ,39.59166667
sungkyunkwan univ,39.58333333
macquarie univ,39.46666667
nci,39.26122766
univ montreal,38.91507937
marquette univ,38.87777778
korea univ,38.68412698
univ british columbia,38.19285714
univ chicago,37.89613997
tilburg univ,37.62662338
univ ljubljana,37.6
virginia commonwealth univ,37.12738095
univ auckland,37.12619048
rmit univ,36.79444444
univ e anglia,36.66666667
villanova univ,35.7
rti int,35.58188282
bournemouth univ,35.08888889
open univ,35.06666667
yonsei univ,34.96666667
virginia tech,34.94166667
ucl,34.7024531
univ denver,34.56547619
univ alberta,34.54166667
univ calif san diego,34.54130592
univ orebro,34.5
univ calgary,34.15
vanderbilt univ,34.02402491
univ cent florida,34.00793651
cuny,33.84404762
w virginia univ,33.71769481
univ s australia,33.64166667
univ western ontario,33.48495671
univ wisconsin madison,33.31107504
univ hong kong,32.58333333
univ surrey,32.52820513
univ calif irvine,32.52186147
free univ berlin,32.38611111
old dominion univ,32.375
western michigan univ,32
drexel univ,31.94404762
stockholm univ,31.42424242
amer univ,31.30952381
ctr dis control &amp; prevent,31.02911998
ludwig maximilians univ munchen,30.90833333
duke univ,30.88449029
loughborough univ technol,30.7
univ bergen,30.03174603
northeastern univ,29.92380952
american univ,29.91666667
univ glasgow,29.83333333
leiden univ,29.56025641
portland state univ,29.47467532
london sch econ &amp; polit sci,29.40238095
univ pompeu fabra,29.29871795
univ munster,29.14166667
wake forest univ,28.9
quinnipiac univ,28.875
univ canberra,28.78333333
deakin univ,28.60119048
lund univ,28.575
univ seville,28.48333333
tulane univ,28.125
karlstad univ,28
florida int univ,27.65959596
univ complutense madrid,27.63333333
calif state univ fullerton,27.60952381
dublin city univ,27.52777778
univ sussex,27.4
e carolina univ,27.18334443
miami univ,26.66944444
mid sweden univ,26.64285714
univ louisville,26.49285714
univ kent,26.48333333
hanyang univ,26.33571429
univ cambridge,26.17063492
york univ,26.13376623
delft univ technol,26.10357143
