u2,u3,total
Ohio State Univ,Sch Commun,94.15995670995667
Michigan State Univ,Dept Commun,40.90833333333333
Univ Penn,Annenberg Sch Commun,38.812083015024186
Univ Illinois,Dept Commun,36.49523809523809
Univ Amsterdam,Amsterdam Sch Commun Res,35.868055555555564
Cornell Univ,Dept Commun,35.686601307189534
Univ Calif Santa Barbara,Dept Commun,32.8
Univ Calif Davis,Dept Commun,29.559523809523807
Nanyang Technol Univ,Wee Kim Wee Sch Commun & Informat,25.58333333333333
Univ Amsterdam,Amsterdam Sch Commun Res ASCoR,21.8771978021978
Univ Wisconsin,Sch Journalism & Mass Commun,21.810930735930736
Univ Arizona,Dept Commun,20.999999999999996
No-u2,No-u3,20.0
Texas A&M Univ,Dept Commun,18.309523809523803
Univ Michigan,Inst Social Res,17.977380952380955
Univ Maryland,Dept Commun,16.98333333333333
Univ Washington,Dept Commun,16.80952380952381
Washington State Univ,Edward R Murrow Coll Commun,16.76904761904762
Purdue Univ,Dept Commun,16.55357142857143
SUNY Buffalo,Dept Commun,16.409523809523808
Vrije Univ Amsterdam,Dept Commun Sci,15.73333333333333
RTI Int,Res Triangle Pk,15.225465221053458
Univ Vienna,Dept Commun,14.933333333333332
George Mason Univ,Dept Commun,13.717171717171718
Univ Texas Austin,Dept Commun Studies,13.333333333333334
Hebrew Univ Jerusalem,Dept Commun & Journalism,13.309523809523812
Penn State Univ,Dept Commun Arts & Sci,13.066666666666668
Univ Haifa,Dept Commun,12.866666666666667
Chinese Univ Hong Kong,Sch Journalism & Commun,12.499999999999998
Univ Utah,Dept Commun,12.38015873015873
Univ Minnesota,Sch Journalism & Mass Commun,11.899999999999999
Northwestern Univ,Dept Commun Studies,11.666666666666666
Indiana Univ,Dept Telecommun,11.642857142857142
Rutgers State Univ,Dept Commun,11.426190476190474
Univ So Calif,Annenberg Sch Commun & Journalism,11.316666666666666
Univ Zurich,Inst Mass Commun & Media Res,11.164285714285715
Ohio State Univ,Columbus,11.024999999999999
City Univ Hong Kong,Dept Media & Commun,11.0
Univ Michigan,Dept Commun Studies,10.838690476190477
Univ Maryland,Joint Program Survey Methodol,10.788131313131316
Stanford Univ,Dept Commun,10.657738095238095
Univ Texas Austin,Sch Journalism,10.266666666666667
Rutgers State Univ,Sch Commun & Informat,9.792857142857143
Univ So Calif,Annenberg Sch Commun,9.71031746031746
Univ Georgia,Grady Coll Journalism & Mass Commun,9.616666666666665
Johannes Gutenberg Univ Mainz,Dept Commun,9.452380952380953
