,Unit_Name_1,Score
0,ohio state univ,169.96511544011545
1,univ amsterdam,123.68374542124545
2,michigan state univ,121.69202741702742
3,univ michigan,111.29417804417814
4,univ penn,102.53137727231655
5,"univ wisconsin, madison",101.25193001443004
6,"univ texas, austin",99.78928571428568
7,"univ illinois, urbana-champaign",81.10476190476194
8,univ so calif,73.76507936507939
9,penn state univ,71.0964285714286
10,northwestern univ,69.21118326118328
11,cornell univ,68.84771241830069
12,"indiana univ, bloomington",64.3702380952381
13,univ calif davis,61.348160173160174
14,univ calif santa barbara,61.28333333333337
15,"univ georgia, athens",59.887337662337686
16,"univ maryland, college pk",56.691666666666656
17,univ washington,54.95441225441229
18,univ arizona,52.358730158730175
19,"univ minnesota, twin cities",49.9746031746032
20,purdue univ,49.252380952380975
21,rutgers state univ,46.76746031746032
22,nanyang technol univ,44.81666666666666
23,washington state univ,44.388095238095254
24,hebrew univ jerusalem,41.3936507936508
25,vrije univ amsterdam,40.725649350649356
26,stanford univ,39.98055555555553
27,"texas a&m, college stn",38.82619047619047
28,george washington univ,37.63856421356424
29,"univ missouri, columbia",37.353968253968254
30,univ haifa,35.61666666666666
31,nci,34.12511655011655
32,"univ illinois, chicago",33.5717796092796
33,suny buffalo,33.33730158730159
34,"univ n carolina, chapel hill",31.74152514152512
35,univ florida,31.592857142857138
36,univ kentucky,31.45231990231989
37,natl chengchi univ,31.416666666666668
38,univ connecticut,29.152380952380955
39,univ vienna,28.466666666666658
40,harvard univ,27.273614294202524
41,rti int,27.105692346868818
42,univ colorado,27.058259284575076
43,george mason univ,25.825108225108227
44,arizona state univ,25.759523809523813
45,univ oxford,25.042857142857137
46,vanderbilt univ,24.90735824632883
47,univ oklahoma,24.414775910364142
48,natl univ singapore,24.21666666666667
49,univ zurich,24.18416305916306
50,univ antwerp,24.16590909090909
51,yale univ,24.102056277056274
52,univ kansas,24.05059523809523
53,univ utah,23.230555555555544
54,boston univ,22.90541125541125
55,temple univ,22.670634920634914
56,georgia state univ,22.544047619047618
57,"louisiana state univ, baton rouge",22.044047619047618
58,univ iowa,21.77424242424242
59,univ calif los angeles,21.466341991341984
60,radboud univ nijmegen,21.147619047619045
61,univ ghent,21.093181818181808
62,city univ hong kong,21.01904761904762
63,florida state univ,20.87619047619048
64,chinese univ hong kong,20.33333333333333
65,ohio univ,20.066666666666666
66,univ delaware,19.62619047619047
67,nyu,19.42510822510822
68,colorado state univ,19.068253968253966
69,columbia univ,18.99469696969696
70,"univ wisconsin, milwaukee",18.792929292929294
71,johns hopkins univ,18.29880952380952
72,duke univ,17.123800979722034
73,univ nebraska,17.10708180708181
74,seoul natl univ,17.0125
75,"univ alabama, tuscaloosa",16.788690476190478
76,san diego state univ,16.64920634920635
77,univ pittsburgh,16.482575757575752
78,johannes gutenberg univ mainz,16.480158730158735
79,univ miami,16.147420634920636
80,syracuse univ,16.083333333333336
81,tel aviv univ,15.876262626262626
82,univ s carolina,15.793589743589745
83,univ groningen,15.700000000000001
84,iowa state univ,15.535714285714285
85,katholieke univ leuven,15.53333333333333
86,"univ london, london sch econ & polit sci",15.5
87,ctr dis control & prevent,15.487698412698409
88,univ sydney,15.460822510822512
89,georgetown univ,15.432142857142853
90,suny albany,15.333333333333334
91,westat corp,15.072746697746696
92,univ melbourne,15.041666666666666
93,monash univ,14.741666666666665
94,erasmus univ,14.45
95,univ calif berkeley,14.358333333333334
96,univ queensland,14.276190476190479
97,texas tech univ,14.09563492063492
98,"univ tennessee, knoxville",13.949999999999998
99,kent state univ,13.735714285714284
