u2,total
Ohio State Univ,119.87305194805192
Univ Amsterdam,85.94207875457876
Michigan State Univ,80.62543290043291
Univ Wisconsin,68.82359307359312
Univ Illinois,68.65451770451777
Univ Michigan,66.83070401820406
Univ Texas Austin,65.07539682539687
Univ Penn,58.598043938983245
Cornell Univ,49.64771241830067
Univ Maryland,45.64368686868689
Northwestern Univ,44.86832611832613
Penn State Univ,41.36785714285714
Univ Georgia,40.68809523809524
Univ Calif Santa Barbara,40.58333333333333
Univ Calif Davis,39.65649350649351
Indiana Univ,37.34880952380952
Univ Arizona,37.04206349206349
Univ N Carolina,36.90119325119325
Vrije Univ Amsterdam,34.32088744588745
Nanyang Technol Univ,32.599999999999994
Univ So Calif,32.2734126984127
Washington State Univ,30.504761904761903
George Washington Univ,30.271897546897545
Univ Minnesota,29.141269841269832
Univ Washington,28.921078921078916
Stanford Univ,28.919444444444434
Texas A&M Univ,28.84285714285714
Rutgers State Univ,28.09126984126984
Purdue Univ,27.252380952380953
Hebrew Univ Jerusalem,25.89365079365079
RTI Int,23.455692346868815
SUNY Buffalo,22.292857142857137
Univ Vienna,22.049999999999994
NCI,21.959965034965034
Univ Kentucky,21.538629426129425
Univ Missouri,20.755158730158726
George Mason Univ,20.536219336219336
Univ Zurich,20.1765873015873
Univ Haifa,20.13333333333333
No-u2,20.0
Natl Chengchi Univ,19.916666666666668
Louisiana State Univ,19.225595238095234
Vanderbilt Univ,19.16757066462948
Natl Univ Singapore,19.166666666666664
Univ Antwerp,19.090909090909093
Harvard Univ,19.089487310075548
Arizona State Univ,17.80952380952381
Radboud Univ Nijmegen,17.409523809523808
Univ Ghent,16.859848484848484
Univ Utah,16.76944444444444
Boston Univ,16.744047619047624
Georgia State Univ,16.427380952380954
Univ Connecticut,15.902380952380954
Univ Florida,15.392857142857146
Univ Oxford,15.042857142857143
Univ Kansas,15.038095238095236
City Univ Hong Kong,14.619047619047619
Johannes Gutenberg Univ Mainz,14.480158730158733
Univ Oklahoma,14.306442577030813
Yale Univ,14.227813852813853
Univ Nebraska,13.523748473748478
Univ Iowa,13.440909090909093
Chinese Univ Hong Kong,13.333333333333332
Univ Colorado,13.310640236956024
Univ Calif Los Angeles,13.166341991341989
Seoul Natl Univ,12.9125
Duke Univ,12.656539074960126
Univ Miami,12.651587301587302
Columbia Univ,12.628030303030304
Univ Massachusetts,12.588127558715792
NYU,12.41558441558442
Ohio Univ,12.366666666666667
Temple Univ,12.087301587301589
Aarhus Univ,12.083333333333334
Florida State Univ,11.8
Univ Mannheim,11.675036075036074
Texas Tech Univ,11.062301587301588
Kent State Univ,10.985714285714286
Univ Sydney,10.856655844155846
